File,Channel,Name
export_W_120622 New Unmixing-Samples-A10 CD29 PE_Unmixed_live.fcs,FJComp-PE-A,CD29
export_W_120622 New Unmixing-Samples-A10 IgG Fc PE_Unmixed_live.fcs,FJComp-PE-A,IgG-FC
export_W_120622 New Unmixing-Samples-A11 CD32 PE_Unmixed_live.fcs,FJComp-PE-A,CD32
export_W_120622 New Unmixing-Samples-A11 KLRG1 PE_Unmixed_live.fcs,FJComp-PE-A,KLRG1
export_W_120622 New Unmixing-Samples-A12 CD35 PE_Unmixed_live.fcs,FJComp-PE-A,CD35
export_W_120622 New Unmixing-Samples-A12 TIM-4 PE_Unmixed_live.fcs,FJComp-PE-A,TIM-4
export_W_120622 New Unmixing-Samples-A1 CD2 PE_Unmixed_live.fcs,FJComp-PE-A,CD2
export_W_120622 New Unmixing-Samples-A1 CD85g PE_Unmixed_live.fcs,FJComp-PE-A,CD85g
export_W_120622 New Unmixing-Samples-A2 C5L2 PE_Unmixed_live.fcs,FJComp-PE-A,C5L2
export_W_120622 New Unmixing-Samples-A2 CD8 PE_Unmixed_live.fcs,FJComp-PE-A,CD8
export_W_120622 New Unmixing-Samples-A3 Cadherin 11 PE_Unmixed_live.fcs,FJComp-PE-A,Cadherin11
export_W_120622 New Unmixing-Samples-A3 CD9 PE_Unmixed_live.fcs,FJComp-PE-A,CD9
export_W_120622 New Unmixing-Samples-A4 CD18 PE_Unmixed_live.fcs,FJComp-PE-A,CD18
export_W_120622 New Unmixing-Samples-A4 CLEC1B PE_Unmixed_live.fcs,FJComp-PE-A,CLEC1B
export_W_120622 New Unmixing-Samples-A5 CD24 PE_Unmixed_live.fcs,FJComp-PE-A,CD24
export_W_120622 New Unmixing-Samples-A5 Fcer1a PE_Unmixed_live.fcs,FJComp-PE-A,Fcer1a
export_W_120622 New Unmixing-Samples-A6 CD25 PE_Unmixed_live.fcs,FJComp-PE-A,CD25
export_W_120622 New Unmixing-Samples-A6 Folate Receptor B PE_Unmixed_live.fcs,FJComp-PE-A,FR-b
export_W_120622 New Unmixing-Samples-A7 CD26 PE_Unmixed_live.fcs,FJComp-PE-A,CD26
export_W_120622 New Unmixing-Samples-A7 GPR56_Unmixed_live.fcs,FJComp-PE-A,GPR56
export_W_120622 New Unmixing-Samples-A8 CD27 PE_Unmixed_live.fcs,FJComp-PE-A,CD27
"export_W_120622 New Unmixing-Samples-A8 HLA -A,B,C_Unmixed_live.fcs",FJComp-PE-A,HLA-A-B-C
export_W_120622 New Unmixing-Samples-A9 CD28 PE_Unmixed_live.fcs,FJComp-PE-A,CD28
"export_W_120622 New Unmixing-Samples-A9 HLA-DR, DP, DQ_Unmixed_live.fcs",FJComp-PE-A,HLA-DR-DP-DQ
export_W_120622 New Unmixing-Samples-B10 CD57 PE_Unmixed_live.fcs,FJComp-PE-A,CD57
export_W_120622 New Unmixing-Samples-B11 CD58 PE_Unmixed_live.fcs,FJComp-PE-A,CD58
export_W_120622 New Unmixing-Samples-B12 CD59 PE_Unmixed_live.fcs,FJComp-PE-A,CD59
export_W_120622 New Unmixing-Samples-B1 CD36 PE_Unmixed_live.fcs,FJComp-PE-A,CD36
export_W_120622 New Unmixing-Samples-B1 TSPAN33 PE_Unmixed_live.fcs,FJComp-PE-A,TSPAN33
export_W_120622 New Unmixing-Samples-B2 CD37 PE_Unmixed_live.fcs,FJComp-PE-A,CD37
export_W_120622 New Unmixing-Samples-B2 CD98 PE_Unmixed_live.fcs,FJComp-PE-A,CD98
export_W_120622 New Unmixing-Samples-B3 CD41 PE_Unmixed_live.fcs,FJComp-PE-A,CD41
export_W_120622 New Unmixing-Samples-B3 GARP PE_Unmixed_live.fcs,FJComp-PE-A,GARP
export_W_120622 New Unmixing-Samples-B4 CD43 PE_Unmixed_live.fcs,FJComp-PE-A,CD43
export_W_120622 New Unmixing-Samples-B5 CD44 PE_Unmixed_live.fcs,FJComp-PE-A,CD44
export_W_120622 New Unmixing-Samples-B6 CD47 PE_Unmixed_live.fcs,FJComp-PE-A,CD47
export_W_120622 New Unmixing-Samples-B7 CD52 PE_Unmixed_live.fcs,FJComp-PE-A,CD52
export_W_120622 New Unmixing-Samples-B8 CD54 PE_Unmixed_live.fcs,FJComp-PE-A,CD54
export_W_120622 New Unmixing-Samples-B9 CD55 PE_Unmixed_live.fcs,FJComp-PE-A,CD55
export_W_120622 New Unmixing-Samples-C10 CD93 PE_Unmixed_live.fcs,FJComp-PE-A,CD93
export_W_120622 New Unmixing-Samples-C11 CD101 PE_Unmixed_live.fcs,FJComp-PE-A,CD101
export_W_120622 New Unmixing-Samples-C12 CD102 PE_Unmixed_live.fcs,FJComp-PE-A,CD102
export_W_120622 New Unmixing-Samples-C1 CD61 PE_Unmixed_live.fcs,FJComp-PE-A,CD61
export_W_120622 New Unmixing-Samples-C2 CD63 PE_Unmixed_live.fcs,FJComp-PE-A,CD63
export_W_120622 New Unmixing-Samples-C3 CD69 PE_Unmixed_live.fcs,FJComp-PE-A,CD69
export_W_120622 New Unmixing-Samples-C4 CD72 PE_Unmixed_live.fcs,FJComp-PE-A,CD72
export_W_120622 New Unmixing-Samples-C5 CD73 PE_Unmixed_live.fcs,FJComp-PE-A,CD73
export_W_120622 New Unmixing-Samples-C6 CD81 PE_Unmixed_live.fcs,FJComp-PE-A,CD81
export_W_120622 New Unmixing-Samples-C7 CD82 PE_Unmixed_live.fcs,FJComp-PE-A,CD82
export_W_120622 New Unmixing-Samples-C8 CD83 PE_Unmixed_live.fcs,FJComp-PE-A,CD83
export_W_120622 New Unmixing-Samples-C9 CD84 PE_Unmixed_live.fcs,FJComp-PE-A,CD84
export_W_120622 New Unmixing-Samples-D10 CD127 PE_Unmixed_live.fcs,FJComp-PE-A,CD127
export_W_120622 New Unmixing-Samples-D11 CD133 PE_Unmixed_live.fcs,FJComp-PE-A,CD133
export_W_120622 New Unmixing-Samples-D12 CD135 PE_Unmixed_live.fcs,FJComp-PE-A,CD135
export_W_120622 New Unmixing-Samples-D1 CD103 PE_Unmixed_live.fcs,FJComp-PE-A,CD103
export_W_120622 New Unmixing-Samples-D2 CD105 PE_Unmixed_live.fcs,FJComp-PE-A,CD105
export_W_120622 New Unmixing-Samples-D3 CD106 PE_Unmixed_live.fcs,FJComp-PE-A,CD106
export_W_120622 New Unmixing-Samples-D4 CD109 PE_Unmixed_live.fcs,FJComp-PE-A,CD109
export_W_120622 New Unmixing-Samples-D5 CD110 PE_Unmixed_live.fcs,FJComp-PE-A,CD110
export_W_120622 New Unmixing-Samples-D6 CD112 PE_Unmixed_live.fcs,FJComp-PE-A,CD112
export_W_120622 New Unmixing-Samples-D7 CD115 PE_Unmixed_live.fcs,FJComp-PE-A,CD115
export_W_120622 New Unmixing-Samples-D8 CD116 PE_Unmixed_live.fcs,FJComp-PE-A,CD116
export_W_120622 New Unmixing-Samples-D9 CD119 PE_Unmixed_live.fcs,FJComp-PE-A,CD119
export_W_120622 New Unmixing-Samples-E10 CD177 PE_Unmixed_live.fcs,FJComp-PE-A,CD177
export_W_120622 New Unmixing-Samples-E11 CD183 PE_Unmixed_live.fcs,FJComp-PE-A,CD183
export_W_120622 New Unmixing-Samples-E12 CD185 PE_Unmixed_live.fcs,FJComp-PE-A,CD185
export_W_120622 New Unmixing-Samples-E1 CD138 PE_Unmixed_live.fcs,FJComp-PE-A,CD138
export_W_120622 New Unmixing-Samples-E2 CD141 PE_Unmixed_live.fcs,FJComp-PE-A,CD141
export_W_120622 New Unmixing-Samples-E3 CD150 PE_Unmixed_live.fcs,FJComp-PE-A,CD150
export_W_120622 New Unmixing-Samples-E4 CD151 PE_Unmixed_live.fcs,FJComp-PE-A,CD151
export_W_120622 New Unmixing-Samples-E5 CD154 PE_Unmixed_live.fcs,FJComp-PE-A,CD154
export_W_120622 New Unmixing-Samples-E6 CD155 PE_Unmixed_live.fcs,FJComp-PE-A,CD155
export_W_120622 New Unmixing-Samples-E7 CD162 PE_Unmixed_live.fcs,FJComp-PE-A,CD162
export_W_120622 New Unmixing-Samples-E8 CD163 PE_Unmixed_live.fcs,FJComp-PE-A,CD163
export_W_120622 New Unmixing-Samples-E9 CD164 PE_Unmixed_live.fcs,FJComp-PE-A,CD164
export_W_120622 New Unmixing-Samples-F10 CD304 PE_Unmixed_live.fcs,FJComp-PE-A,CD304
export_W_120622 New Unmixing-Samples-F11 CD305 PE_Unmixed_live.fcs,FJComp-PE-A,CD305
export_W_120622 New Unmixing-Samples-F12 CD309 PE_Unmixed_live.fcs,FJComp-PE-A,CD309
export_W_120622 New Unmixing-Samples-F1 CD186 PE_Unmixed_live.fcs,FJComp-PE-A,CD186
export_W_120622 New Unmixing-Samples-F2 CD192 PE_Unmixed_live.fcs,FJComp-PE-A,CD192
export_W_120622 New Unmixing-Samples-F3 CD200 PE_Unmixed_live.fcs,FJComp-PE-A,CD200
export_W_120622 New Unmixing-Samples-F4 CD201 PE_Unmixed_live.fcs,FJComp-PE-A,CD201
export_W_120622 New Unmixing-Samples-F5 CD205 PE_Unmixed_live.fcs,FJComp-PE-A,CD205
export_W_120622 New Unmixing-Samples-F6 CD226 PE_Unmixed_live.fcs,FJComp-PE-A,CD226
export_W_120622 New Unmixing-Samples-F7 CD230 PE_Unmixed_live.fcs,FJComp-PE-A,CD230
export_W_120622 New Unmixing-Samples-F8 CD274 PE_Unmixed_live.fcs,FJComp-PE-A,CD274
export_W_120622 New Unmixing-Samples-F9 CD279 PE_Unmixed_live.fcs,FJComp-PE-A,CD279
export_W_120622 New Unmixing-Samples-G10 CD140b PE_Unmixed_live.fcs,FJComp-PE-A,CD140b
export_W_120622 New Unmixing-Samples-G11 CD158e1 PE_Unmixed_live.fcs,FJComp-PE-A,CD158e1
export_W_120622 New Unmixing-Samples-G12 CD158f PE_Unmixed_live.fcs,FJComp-PE-A,CD158f
export_W_120622 New Unmixing-Samples-G1 CD325 PE_Unmixed_live.fcs,FJComp-PE-A,CD325
export_W_120622 New Unmixing-Samples-G2 CD326 PE_Unmixed_live.fcs,FJComp-PE-A,CD326
export_W_120622 New Unmixing-Samples-G3 CD335 PE_Unmixed_live.fcs,FJComp-PE-A,CD335
export_W_120622 New Unmixing-Samples-G4 CD354 PE_Unmixed_live.fcs,FJComp-PE-A,CD354
export_W_120622 New Unmixing-Samples-G5 CD366 PE_Unmixed_live.fcs,FJComp-PE-A,CD366
export_W_120622 New Unmixing-Samples-G6 CD49f PE_Unmixed_live.fcs,FJComp-PE-A,CD49f
export_W_120622 New Unmixing-Samples-G7 Integrin B7 PE_Unmixed_live.fcs,FJComp-PE-A,IntegrinB7
export_W_120622 New Unmixing-Samples-G8 CD11a PE_Unmixed_live.fcs,FJComp-PE-A,CD11a
export_W_120622 New Unmixing-Samples-G9 CD11c PE_Unmixed_live.fcs,FJComp-PE-A,CD11c
export_W_120622 New Unmixing-Samples-H10 CD49b PE_Unmixed_live.fcs,FJComp-PE-A,CD49b
export_W_120622 New Unmixing-Samples-H11 CD62L PE_Unmixed_live.fcs,FJComp-PE-A,CD62L
